央视卫视,#genre#
CCTV-1 综合 FHD,http://112.50.243.8/PLTV/88888888/224/3221226908/1.m3u8
CCTV-2 财经 FHD,http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8
CCTV-3 综艺 FHD,http://liveplay-kk.rtxapp.com/live/program/live/cctv3hd/4000000/mnf.m3u8
CCTV-4 国际 FHD,http://112.50.243.8/PLTV/88888888/224/3221225802/1.m3u8
CCTV-5 体育 FHD,http://120.241.133.167/live-cnc-cdn.ysp.cctv.cn/ysp/2000205103.m3u8
CCTV-5+ 体育赛事 FHD,http://112.50.243.8/PLTV/88888888/224/3221225939/1.m3u8
CCTV-6 电影 FHD,http://liveplay-kk.rtxapp.com/live/program/live/cctv6hd/4000000/mnf.m3u8
CCTV-7 国防军事 FHD,http://112.50.243.8/PLTV/88888888/224/3221226998/1.m3u8
CCTV-8 电视剧 FHD,http://118.123.60.9:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=089&Provider_id=&Pcontent_id=index.m3u8
CCTV-9 纪录 FHD,http://112.50.243.8/PLTV/88888888/224/3221225929/1.m3u8
CCTV-10 科教 FHD,http://112.50.243.8/PLTV/88888888/224/3221225814/1.m3u8
CCTV-11 戏曲 FHD,http://112.50.243.8/PLTV/88888888/224/3221225815/1.m3u8
CCTV-12 社会与法 FHD,http://112.50.243.8/PLTV/88888888/224/3221225932/1.m3u8
CCTV-13 新闻 FHD,http://120.241.133.167/live-cnc-cdn.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV-14 少儿 FHD,http://112.50.243.8/PLTV/88888888/224/3221225933/1.m3u8
CCTV-15 音乐 FHD,http://112.50.243.8/PLTV/88888888/224/3221225818/1.m3u8
CCTV-17 农业农村 FHD,http://112.50.243.8/PLTV/88888888/224/3221226986/1.m3u8
CETV-1 FHD,http://112.50.243.8/PLTV/88888888/224/3221226954/1.m3u8
CGTN FHD,http://120.241.133.167/live-cnc-cdn.ysp.cctv.cn/ysp/2001656803.m3u8
CCTV 4K FHD版,http://120.241.133.167/live-cnc-cdn.ysp.cctv.cn/ysp/2000266303.m3u8
湖南卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221225935/1.m3u8
江苏卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221226869/1.m3u8
浙江卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221225934/1.m3u8
东方卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221225936/1.m3u8
四川卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221227006/1.m3u8
北京卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221225937/1.m3u8
广东卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221226946/1.m3u8
深圳卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221225938/1.m3u8
山东卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221225943/1.m3u8
天津卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221225941/1.m3u8
东南卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221226877/1.m3u8
黑龙江卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221225940/1.m3u8
湖北卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221225948/1.m3u8
江西卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221227022/1.m3u8
辽宁卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221226881/1.m3u8
重庆卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221225949/1.m3u8
安徽卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221226942/1.m3u8
河北卫视 FHD,http://120.241.133.167/live-cnc-cdn.ysp.cctv.cn/ysp/2000293403.m3u8
河南卫视 FHD,http://120.241.133.167/live-cnc-cdn.ysp.cctv.cn/ysp/2000296103.m3u8
贵州卫视 FHD,http://120.241.133.167/live-cnc-cdn.ysp.cctv.cn/ysp/2000293303.m3u8
广西卫视 FHD,http://120.241.133.167/live-cnc-cdn.ysp.cctv.cn/ysp/2000294203.m3u8
海南卫视 FHD,http://120.241.133.167/live-cnc-cdn.ysp.cctv.cn/ysp/2000291503.m3u8
青海卫视 FHD,http://live.geermurmt.com/qhws/sd/live.m3u8
厦门卫视 FHD,http://112.50.243.8/PLTV/88888888/224/3221226781/1.m3u8
新疆卫视 FHD,http://tv.boye.ml/iptv/xjtv.php?id=1
峨眉电影 HD,http://scgctvshow.sctv.com/hdlive/emei/1.m3u8
吉林卫视 HD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=011&Provider_id=&Pcontent_id=index.m3u8
山西卫视 HD,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=010&Provider_id=&Pcontent_id=index.m3u8
陕西卫视 HD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=049&Provider_id=&Pcontent_id=index.m3u8
